App_Name,installs,score,ratings,reviews,Size (MB),Android_Version,developer,contentRating,containsAds,Released Date
Duolingo: language lessons,100000000,4.6,12512116,592133,52.9,4,Duolingo,Everyone,TRUE,29-05-2013
Praadis Education Learning App,100000,5.0,4692,6,52.9,4,PRAADIS TECHNOLOGIES INC,Everyone,FALSE,17-01-2019
Unacademy Learner App,50000000,3.4,951700,452,52.9,4,Unacademy,Everyone,FALSE,15-02-2017
Edmodo,10000000,4.0,459326,15292,52.9,5,"Edmodo, Inc",Everyone,TRUE,02-11-2010
Quizlet: Languages & Vocab,10000000,4.7,466157,49990,52.9,4,Quizlet Inc.,Everyone,TRUE,20-08-2013
Pluralsight – The Technology Skills Platform,1000000,4.5,17874,1918,52.9,4,Pluralsight,Everyone,FALSE,17-04-2011
Cambly - English Teacher,10000000,4.2,126401,1352,99.0,5,Cambly,Everyone,FALSE,17-02-2014
Edutechs,500,3.1,248487,89,82.0,5,M. Ekram,Everyone,FALSE,21-10-2020
Administration course,100000,3.1,248487,89,8.8,4.1,Network24,Everyone,TRUE,09-04-2017
Learn Smart Classroom,10000,3.1,248487,89,8.8,5.1,Knowledge Platform,Everyone,FALSE,01-06-2020
Courstube: Courses to learn,5000,4.7,262,6,8.0,5,Crazy Ideas,Everyone,TRUE,10-04-2021
Emerging Study - Learn Online,50000,5.0,790,6,75.0,6,Emerging Study,Everyone,TRUE,27-04-2021
uLesson Educational App,1000000,4.3,12023,63,752.9,5,uLesson Education,Everyone,FALSE,01-03-2020
Course Hero: Homework Helper,500000,4.5,11192,2536,67.0,5,Course Hero,Everyone,FALSE,16-12-2015
Converge Study Abroad,50000,4.3,1944,9,64.0,6,Converge Edutech Private Limited,Everyone,FALSE,01-10-2020
BacBon School,10000,4.6,425,3,61.0,5,BacBon Ltd.,Everyone,FALSE,05-08-2019
"Cuemath: Math Games, Online Classes & Learning App",1000000,4.1,35681,316,652.9,5,Cuemath,Everyone,FALSE,11-10-2019
"Lectera — online education, online courses",5000,3.1,248487,89,6.4,5,Lectera,Everyone,FALSE,12-11-2020
Free Online Courses,1000,3.1,248487,89,6.3,5,RedTECH,Everyone,TRUE,09-02-2020
Learn Computer Course- offline,500000,4.6,6937,85,6.3,4.4,learning applications,Everyone,TRUE,05-12-2019
Dr course (student),1000,3.1,248487,89,58.0,6,Devo tech,Everyone,TRUE,28-08-2021
HSK Study and Exam — SuperTest,1000000,4.7,23345,326,57.0,4.1,Learn Language - Super Chinese,Everyone,FALSE,13-02-2018
Great Learning- Online Courses,1000000,4.2,18492,51,56.0,5,Great Learning,Everyone,FALSE,22-04-2015
