App_Name,installs,score,ratings,reviews,Size (MB),Android_Version,developer,Released Date,install_category,contentRating_Teen,containsAds_True,cluster
Duolingo: language lessons,100000000,4.6,12512116,592133,52.9,4,Duolingo,29-05-2013,High,False,True,2
Praadis Education Learning App,100000,5.0,4692,6,52.9,4,PRAADIS TECHNOLOGIES INC,17-01-2019,Low,False,False,0
Unacademy Learner App,50000000,3.4,951700,452,52.9,4,Unacademy,15-02-2017,High,False,False,1
Edmodo,10000000,4.0,459326,15292,52.9,5,"Edmodo, Inc",02-11-2010,High,False,True,0
Quizlet: Languages & Vocab,10000000,4.7,466157,49990,52.9,4,Quizlet Inc.,20-08-2013,High,False,True,0
Pluralsight – The Technology Skills Platform,1000000,4.5,17874,1918,52.9,4,Pluralsight,17-04-2011,Medium,False,False,0
Cambly - English Teacher,10000000,4.2,126401,1352,99.0,5,Cambly,17-02-2014,High,False,False,0
Edutechs,500,3.1,248487,89,82.0,5,M. Ekram,21-10-2020,Low,False,False,1
Administration course,100000,3.1,248487,89,8.8,4.1,Network24,09-04-2017,Low,False,True,1
Learn Smart Classroom,10000,3.1,248487,89,8.8,5.1,Knowledge Platform,01-06-2020,Low,False,False,1
Courstube: Courses to learn,5000,4.7,262,6,8.0,5,Crazy Ideas,10-04-2021,Low,False,True,0
Emerging Study - Learn Online,50000,5.0,790,6,75.0,6,Emerging Study,27-04-2021,Low,False,True,0
uLesson Educational App,1000000,4.3,12023,63,752.9,5,uLesson Education,01-03-2020,Medium,False,False,0
Course Hero: Homework Helper,500000,4.5,11192,2536,67.0,5,Course Hero,16-12-2015,Medium,False,False,0
Converge Study Abroad,50000,4.3,1944,9,64.0,6,Converge Edutech Private Limited,01-10-2020,Low,False,False,0
BacBon School,10000,4.6,425,3,61.0,5,BacBon Ltd.,05-08-2019,Low,False,False,0
"Cuemath: Math Games, Online Classes & Learning App",1000000,4.1,35681,316,652.9,5,Cuemath,11-10-2019,Medium,False,False,0
"Lectera — online education, online courses",5000,3.1,248487,89,6.4,5,Lectera,12-11-2020,Low,False,False,1
Free Online Courses,1000,3.1,248487,89,6.3,5,RedTECH,09-02-2020,Low,False,True,1
Learn Computer Course- offline,500000,4.6,6937,85,6.3,4.4,learning applications,05-12-2019,Medium,False,True,0
Dr course (student),1000,3.1,248487,89,58.0,6,Devo tech,28-08-2021,Low,False,True,1
HSK Study and Exam — SuperTest,1000000,4.7,23345,326,57.0,4.1,Learn Language - Super Chinese,13-02-2018,Medium,False,False,0
Great Learning- Online Courses,1000000,4.2,18492,51,56.0,5,Great Learning,22-04-2015,Medium,False,False,0
Prottoy - Visual Learning App,5000,3.1,248487,89,55.0,5,Prottoy Edtech,21-02-2021,Low,False,False,1
Crash Course,100000,4.6,2384,198,55.0,4.4,Complexly LLC,30-04-2020,Low,False,False,0
Noon Academy – Student Learning App,10000000,4.3,103191,459,52.0,5,Noon Academy,12-03-2017,High,False,False,0
EdTech,500,3.1,248487,89,5.7,6,DELLHOAK,20-05-2021,Low,False,False,1
Ghoori Learning-Online Courses,10000,4.3,456,7,5.2,5,Dotlines,03-01-2022,Low,False,False,0
